id,name,birthdate,deathdate
4239,Julie Davis,,
4240,Julie Dawn Cole,2026-10-26,
4241,Julie Engelbrecht,2026-06-30,
4242,Julie Gonzalo,2026-09-09,
4243,Julie Kavner,2026-09-07,
4244,Julie LeBreton,,
4245,Julie R. ?lgaard,2026-09-29,
4246,Julie Taymor,2026-12-15,
4247,Julie Walters,2026-02-22,
4248,Julie-Marie Parmentier,2026-06-13,
4249,Julien Temple,2026-11-26,
4250,Juliet Stevenson,2026-10-30,
4251,Julio DePietro,,
4252,Jun Falkenstein,2026-05-07,
4253,Jun Kunimura,2026-11-16,
4254,June Carter Cash,2026-06-23,2026-05-15
4255,June Diane Raphael,2026-01-04,
4256,June Foray,2026-09-18,
4257,June Lockhart,2026-06-25,
4258,June Squibb,2026-11-06,
4259,Jung-jae Lee,2026-03-15,
4260,Jung-min Hwang,2026-09-01,
4261,Junix Inocian,2026-03-17,2026-06-13
4262,Juraj Jakubisko,2026-04-30,
4263,Jürgen Prochnow,2026-06-10,
4264,Jurnee Smollett-Bell,2026-10-01,
4265,Justin Baldoni,2026-01-24,
4266,Justin Chadwick,2026-12-01,
4267,Justin Chambers,2026-07-11,
4268,Justin Chon,2026-05-29,
4269,Justin Dillon,,
4270,Justin Edward Seale,,
4271,Justin Gordon,,
4272,Justin Hall,,
4273,Justin Kerrigan,,
4274,Justin Kirk,2026-05-28,
4275,Justin Lin,2026-10-11,
4276,Justin Molotnikov,,
4277,Justin Paul Miller,,
4278,Justin Pierce,2026-03-21,2026-07-10
4279,Justin Rice,,
4280,Justin Theroux,2026-08-10,
4281,Justin Thomas Ostensen,,
4282,Justin Timberlake,2026-01-31,
4283,Justin Tipping,,
4284,Justin Zackham,,
4285,Justine Waddell,2026-11-04,
4286,K. King,2026-12-21,
4287,Kabir Bedi,2026-01-16,
4288,Kabir Sadanand,,
4289,Kacey Clarke,2026-01-14,
4290,Kad Merad,2026-03-27,
4291,KaDee Strickland,2026-12-14,
4292,Kaige Chen,2026-08-12,
4293,Kaitlin Olson,2026-08-18,
4294,Kaitlyn Dever,2026-12-21,
4295,Kaiwi Lyman-Mersereau,,
4296,Kali Rocha,2026-12-05,
4297,Kalim Chandler,,
4298,Kamatari Fujiwara,2026-01-15,2026-12-21
4299,Kamel Krifa,,
4300,Kamil McFadden,,
4301,Kane Hodder,2026-04-08,
4302,Kang-ho Song,2026-01-17,
4303,Kar-Wai Wong,2026-07-17,
4304,Kara Hayward,2026-11-17,
4305,Karan Brar,2026-01-18,
4306,Karan Johar,2026-05-25,
4307,Karen Alexander,,
4308,Karen Allen,2026-10-05,
4309,Karen Mok,2026-06-02,
4310,Karen Moncrieff,2026-12-20,
4311,Karen Pittman,,
4312,Karen Young,,
4313,Karey Kirkpatrick,2026-12-14,
4314,Kari J. Kramer,,
4315,Kari Matchett,2026-03-25,
4316,Kari Skogland,,
4317,Kari Wuhrer,2026-04-28,
4318,Karim A?nouz,2026-01-17,
4319,Karin Dor,2026-02-22,
4320,Karin Konoval,,
4321,Karin Viard,2026-01-24,
4322,Karisma Kapoor,2026-06-25,
4323,Karl Collins,,
4324,Karl E. Landler,2026-03-28,
4325,Karl Johnson,2026-03-01,
4326,Karl Malden,2026-03-22,2026-07-01
4327,Karl Yune,2026-04-16,
4328,Karolina Wydra,2026-03-05,
4329,Karra Elejalde,2026-10-10,
4330,Karyn Kusama,2026-03-21,
4331,Kasi Lemmons,2026-02-24,
4332,Kasia Smutniak,2026-08-13,
4333,Kassie Wesley DePaiva,2026-03-21,
4334,Kat Coiro,,
4335,Kate Ashfield,2026-05-28,
4336,Kate Barker-Froyland,,
4337,Kate Burton,2026-09-10,
4338,Kate Capshaw,2026-11-03,
4339,Kate Connor,,
4340,Kate del Castillo,2026-10-23,
4341,Kate Dickie,,
4342,Kate Dollenmayer,,
4343,Kate Flannery,2026-06-10,
4344,Kate Graham,2026-09-05,
4345,Kate Higgins,2026-08-16,
4346,Kate Luyben,2026-06-30,
4347,Kate Maberly,2026-03-14,
4348,Kate Magowan,2026-06-01,
4349,Kate McKinnon,2026-01-06,
4350,Kate Upton,2026-06-10,
4351,Kate Walsh,2026-10-13,
4352,Kate Winslet,2026-10-05,
4353,Kath Soucie,2026-11-18,
4354,Katharina Schüttler,2026-10-20,
4355,Katharine Isabelle,2026-11-02,
4356,Katharine McPhee,2026-03-25,
4357,Katharine Ross,2026-01-29,
4358,Katherine Boecher,2026-08-10,
4359,Katherine Brooks,,
4360,Katherine Dieckmann,,
4361,Katherine Helmond,2026-07-05,
4362,Katherine LaNasa,2026-12-01,
4363,Katherine McNamara,2026-11-22,
4364,Katherine Parkinson,,
4365,Katherine Waterston,2026-03-03,
4366,Kathleen Freeman,,
4367,Kathleen Kinmont,2026-02-03,
4368,Kathleen Munroe,2026-04-09,
4369,Kathleen Quinlan,2026-11-19,
4370,Kathleen Robertson,2026-07-08,
4371,Kathleen Rose Perkins,2026-11-15,
4372,Kathleen Turner,2026-06-19,
4373,Kathleen Wilhoite,2026-06-29,
4374,Kathryn Bigelow,2026-11-27,
4375,Kathryn Erbe,2026-07-05,
4376,Kathryn Joosten,2026-12-20,2026-06-02
4377,Kathryn Morris,2026-01-28,
4378,Kathy Baker,2026-06-08,
4379,Kathy Griffin,2026-11-04,
4380,Kathy Uyen,2026-04-28,
4381,Kati Outinen,2026-08-17,
4382,Katia Winter,2026-10-13,
4383,Katie Aselton,2026-10-01,
4384,Katie Leclerc,2026-11-06,
4385,Katie Lowes,,
4386,Katja von Garnier,2026-12-15,
4387,Katrina Bowden,2026-09-19,
4388,Katrina Kaif,2026-07-16,
4389,Katrina Law,2026-09-30,
4390,Katsuhiro ?tomo,2026-04-14,
4391,Katt Shea,,
4392,Katt Williams,,
4393,Katy Helvenston-Wettengal,,
4394,Katy Jurado,2026-01-16,2026-07-05
4395,Katy Mixon,2026-03-30,
4396,Kay Panabaker,2026-05-02,
4397,Kay Pollak,2026-05-21,
4398,Kayden Kross,2026-09-15,
4399,Kayla Ewell,2026-08-27,
4400,Kayla Jackson,,
4401,Kayla Raparelli,,
4402,Kaylee DeFer,2026-09-23,
4403,Kayvan Novak,2026-11-23,
4404,Kazunari Ninomiya,2026-06-17,
4405,Keanu Reeves,2026-09-02,
4406,Keegan Connor Tracy,2026-12-03,
4407,Keegan-Michael Key,2026-03-22,
4408,Keeley Hawes,2026-02-10,
4409,Keenan Tracey,,
4410,Keenan Wynn,2026-07-27,2026-10-14
4411,Keenen Ivory Wayans,2026-06-08,
4412,Keir Dullea,2026-05-30,
4413,Keir O'Donnell,2026-11-08,
4414,Keisha Castle-Hughes,2026-03-24,
4415,Keith Allen,2026-09-02,
4416,Keith Carradine,2026-08-08,
4417,Keith Gordon,2026-05-26,2026-09-10
4418,Keith Hudson,,
4419,Keith Parmer,,
4420,Keith Richards,2026-12-18,
4421,Kel O'Neill,,
4422,Kelen Coleman,,
4423,Kelli Barrett,2026-01-26,
4424,Kelli Garner,2026-04-11,
4425,Kelli Williams,2026-06-08,
4426,Kellie Martin,2026-10-16,
4427,Kelly Asbury,2026-01-15,
4428,Kelly Brook,2026-11-23,
4429,Kelly Carlson,2026-02-17,
4430,Kelly Clarkson,2026-04-24,
4431,Kelly Jo Minter,2026-09-24,
4432,Kelly Keaton,,
4433,Kelly LeBrock,2026-03-24,
4434,Kelly Lin,2026-10-29,
4435,Kelly Lynch,2026-01-31,
4436,Kelly Macdonald,2026-02-23,
4437,Kelly Makin,,
4438,Kelly Paterniti,2026-12-06,
4439,Kelly Preston,2026-10-13,
4440,Kelly Reichardt,,
4441,Kelly Reno,2026-06-19,
4442,Kelly Ripa,2026-10-02,
4443,Kelly Rowan,2026-10-26,
4444,Kelly Rutherford,2026-11-06,
4445,Kelsey Grammer,2026-02-21,
4446,Kelvin Han Yee,,
4447,Ken Annakin,2026-08-10,2026-04-22
4448,Ken Arnold,,
4449,Ken Bevel,,
4450,Ken Burns,2026-07-29,
4451,Ken Davis,,
4452,Ken Davitian,2026-06-19,
4453,Ken Del Conte,2026-11-02,
4454,Ken Foree,2月29日,
4455,Ken Howard,2026-03-28,2026-03-23
4456,Ken Kwapis,2026-08-17,
4457,Ken Leung,2026-01-21,
4458,Ken Loach,2026-06-17,
4459,Ken Marino,2026-12-19,
4460,Ken Roht,,
4461,Ken Sansom,2026-04-02,2026-10-08
4462,Ken Scott,,
4463,Ken Shapiro,,
4464,Ken Siu,,
4465,Ken Takakura,2026-02-16,2026-11-10
4466,Kenan Thompson,2026-05-10,
4467,Kendrick Cross,2026-05-01,
4468,Kendyl Joi,,
4469,Kenneth Branagh,2026-12-10,
4470,Kenneth Colley,2026-12-07,
4471,Kenneth Cranham,2026-12-12,
4472,Kenneth Johnson,,
4473,Kenneth Lonergan,2026-10-16,
4474,Kenneth Mars,2026-04-04,2026-02-12
4475,Kenneth Mitchell,,
4476,Kenneth Nkosi,,
4477,Kenneth Tobey,2026-03-23,2026-12-22
4478,Kenneth Williams,2026-11-22,
4479,Kenny Baker,2026-07-30,
4480,Kenny Johnston,2026-08-07,
4481,Kenny Ortega,2026-04-18,
4482,Kent Alterman,,
4483,Kent McCord,2026-09-26,
4484,Keram Malicki-Sánchez,2026-05-14,
4485,Keri Lynn Pratt,2026-09-23,
4486,Keri Maletto,2026-12-26,
4487,Kerr Smith,2026-03-09,
4488,Kerry Bishé,,
4489,Kerry Cahill,,
4490,Kerry Condon,2026-01-04,
4491,Kerry Conran,2026-11-06,
4492,Keshia Knight Pulliam,2026-04-09,
4493,Kesun Loder,2026-05-22,
4494,Kevin Alejandro,2026-04-07,
4495,Kevin Allen,2026-09-15,
4496,Kevin Bray,2026-08-19,
4497,Kevin Breznahan,2026-11-24,
4498,Kevin Brodie,2026-05-31,
4499,Kevin Brown,,
4500,Kevin Carraway,,
4501,Kevin Chamberlin,2026-11-25,
4502,Kevin Clash,2026-09-17,
4503,Kevin Connolly,2026-03-05,
4504,Kevin Corrigan,2026-03-27,
4505,Kevin Costner,2026-01-18,
4506,Kevin Dillon,2026-08-19,
4507,Kevin Donovan,,
4508,Kevin Dunn,2026-08-24,
4509,Kevin G. Schmidt,2026-08-16,
4510,Kevin Gage,2026-05-26,
4511,Kevin Greutert,2026-03-31,
4512,Kevin Grevioux,2026-09-09,
4513,Kevin Hamedani,2026-12-25,
4514,Kevin Hooks,2026-09-19,
4515,Kevin Howarth,,
4516,Kevin J. O'Connor,,
4517,Kevin Jordan,,
4518,Kevin Leslie,,
4519,Kevin Lima,,
4520,Kevin Macdonald,2026-05-16,
4521,Kevin McCarthy,,
4522,Kevin McGowan,,
4523,Kevin McHale,2026-06-14,
4524,Kevin McNally,2026-04-27,
4525,Kevin Michael Richardson,2026-10-25,
4526,Kevin Munroe,,
4527,Kevin Nash,2026-07-09,
4528,Kevin Nealon,2026-11-18,
4529,Kevin P. Farley,2026-06-08,
4530,Kevin Peter Hall,2026-05-09,2026-04-10
4531,Kevin Pollak,2026-10-30,
4532,Kevin Rahm,2026-01-07,
4533,Kevin Rankin,2026-04-18,
4534,Kevin Reynolds,2026-01-17,
4535,Kevin Rodney Sullivan,2026-08-03,
4536,Kevin Scott Richardson,2026-10-03,
4537,Kevin Smith,2026-08-02,
4538,Kevin Spacey,2026-07-26,
4539,Kevin Sussman,2026-12-04,
4540,Kevin Tancharoen,2026-04-23,
4541,Kevin Tenney,2026-10-16,
4542,Kevin Tighe,2026-08-13,
4543,Kevin Williamson,2026-03-14,
4544,Kevin Zegers,2026-09-19,
4545,Kevork Malikyan,2026-06-02,
4546,Khaira Arby,,
4547,Khalid Abdalla,2026-12-30,
4548,Khalid Mohamed,,
4549,Khalil Sullins,,
4550,Khamani Griffin,2026-08-01,
4551,Khandi Alexander,2026-09-04,
4552,Khulan Chuluun,2026-05-30,
4553,Khyentse Norbu,,
4554,Ki Hong Lee,,
4555,Kick Gurry,2026-05-25,
4556,Kief Davidson,2026-05-12,
4557,Kieran Culkin,2026-09-30,
4558,Kiernan Shipka,2026-11-10,
4559,Kiersey Clemons,2026-12-17,
4560,Kieu Chinh,,
4561,Kim Chan,2026-12-28,2026-10-05
4562,Kim Darby,2026-07-08,
4563,Kim De Angelo,,
4564,Kim Delaney,2026-11-29,
4565,Kim Dickens,2026-06-18,
4566,Kim Director,2026-11-13,
4567,Kim Farrant,,
4568,Kim Hunter,2026-06-15,
4569,Kim Ly,,
4570,Kim Nguyen,,
4571,Kim Shaw,,
4572,Kim Thomson,,
4573,Kim-Marie Woodhouse,,
4574,Kimberley Crossman,2026-05-24,
4575,Kimberly Beck,2026-01-09,
4576,Kimberly Elise,2026-04-17,
4577,Kimberly J. Brown,,
4578,Kimberly Peirce,2026-09-08,
4579,Kimberly Williams-Paisley,2026-09-14,
4580,Kimble Rendall,,
4581,King Vidor,1894-02-08,2026-11-01
4582,Kinka Usher,,
4583,Kiowa Gordon,2026-03-25,
4584,Kip Pardue,2026-09-23,
4585,Kira McLean,,
4586,Kiran Shah,2026-09-28,
4587,Kirby Bliss Blanton,2026-10-24,
4588,Kirby Heyborne,,
4589,Kirk Baltz,2026-09-14,
4590,Kirk Cameron,2026-10-12,
4591,Kirk De Micco,,
4592,Kirk Fox,2026-08-26,
4593,Kirk Jones,2026-10-31,
4594,Kirk Loudon,,
4595,Kirk Wong,,
4596,Kirpatrick Thomas,,
4597,Kirsten Collins,,
4598,Kirsten Day,,
4599,Kirsten Dunst,2026-04-30,
4600,Kirsten Sheridan,2026-07-14,
4601,Kirstie Alley,2026-01-12,
4602,Kiyoshi Kurosawa,2026-07-19,
4603,Kjell Nilsson,,
4604,Klaus Kinski,2026-10-18,2026-11-23
4605,Klaus Maria Brandauer,2026-06-22,
4606,Klaus Menzel,,
4607,Kodi Smit-McPhee,2026-06-13,
4608,K?ji Yakusho,2026-01-01,
4609,Konstantin Khabenskiy,2026-01-11,
4610,Konstantin Lavronenko,2026-04-20,
4611,Kostja Ullmann,2026-05-30,
4612,Kris Isacsson,,
4613,Kris Marshall,2026-04-01,
4614,Kris Sommerville,,
4615,Krista Allen,2026-04-05,
4616,Kristen Cloke,2026-09-02,
4617,Kristen Connolly,2026-07-12,
4618,Kristen Johnston,2026-09-20,
4619,Kristen Quintrall,,
4620,Kristen Seavey,,
4621,Kristen Stewart,2026-04-09,
4622,Kristi Clainos,2026-07-12,
4623,Kristian Bruun,,
4624,Kristin Booth,2026-08-28,
4625,Kristin Davis,2026-02-23,
4626,Kristin Lehman,2026-05-03,
4627,Kristin Rizzo,,
4628,Kristin Scott Thomas,2026-05-24,
4629,Kristoffer Polaha,2026-02-18,
4630,Kristy Swanson,2026-12-19,
4631,Kriv Stenders,,
4632,Krysta Rodriguez,2026-07-23,
4633,Kumar Gaurav,2026-07-11,
4634,Kundan Shah,2026-10-19,
4635,Kunihiko Yuyama,2026-10-15,
4636,Kuno Becker,2026-01-14,
4637,Kurt Angle,2026-12-09,
4638,Kurt Fuller,2026-09-16,
4639,Kurt Hale,,
4640,Kurt Loder,2026-05-05,
4641,Kurt Voss,2026-09-16,
4642,Kurt Wimmer,,
4643,Kurtwood Smith,2026-07-03,
4644,Kwesi Ameyaw,2026-08-24,
4645,Kwok-Kwan Chan,2026-08-01,
4646,Kyla Pratt,2026-09-16,
4647,Kyla Wise,,
4648,Kyle Balda,2026-03-09,
4649,Kyle Gass,2026-07-14,
4650,Kyle Hebert,2026-06-14,
4651,Kyle Schmid,2026-08-03,
4652,Kylie Bunbury,2026-01-30,
4653,Kylie Minogue,2026-05-28,
4654,Kyra Nichols,,
4655,Kyra Sedgwick,2026-08-19,
4656,Kyung-gu Sol,2026-05-01,
4657,L.Q. Jones,2026-03-14,
4658,La'Princess Jackson,,
4659,Laila Haley,,
4660,Lainie Kazan,2026-05-15,
4661,Laird John Hamilton,2026-03-02,
4662,Lajos Koltai,2026-04-02,
4663,Lalaine,2026-06-03,
4664,Lambert Wilson,2026-08-03,
4665,Lamman Rucker,2026-10-06,
4666,Lana Wachowski,2026-06-21,
4667,Lance Gross,2026-07-08,
4668,Lance Hool,2026-05-11,
4669,Lance Kawas,,
4670,Lance McDaniel,,
4671,Lance Mungia,,
4672,Lance Rivera,,
4673,Landon Liboiron,,
4674,Lane Smith,2026-04-29,2026-06-13
4675,Lara Flynn Boyle,2026-03-24,
4676,Lara Jean Chorostecki,2026-09-24,
4677,Lara Jill Miller,2026-04-20,
4678,Lara Pulver,2026-09-01,
4679,Laraine Day,2026-10-13,2026-11-10
4680,Larenz Tate,2026-09-08,
4681,Lark Voorhies,2026-03-25,
4682,Larry Bagby,2026-03-07,
4683,Larry Blamire,,
4684,Larry Charles,2026-12-01,
4685,Larry Clark,2026-01-19,
4686,Larry David,2026-07-02,
4687,Larry Drake,2026-02-21,2026-03-17
4688,Larry Fessenden,2026-03-23,
4689,Larry Hankin,2026-08-31,
4690,Larry Joe Campbell,2026-11-29,
4691,Larry King,2026-11-19,
4692,Larry Miller,2026-10-15,
4693,Larry Mullen Jr.,2026-10-31,
4694,Larry Poindexter,2026-12-16,
4695,Larry the Cable Guy,2026-02-17,
4696,Lars Mikkelsen,2026-05-06,
4697,Lars Ulrich,2026-12-26,
4698,Lars von Trier,2026-04-30,
4699,Laslo Benedek,2026-03-05,2026-03-11
4700,Lasse Hallstr?m,2026-06-02,
4701,Lateef Crowder,2026-11-23,
4702,Laura Breckenridge,2026-08-22,
4703,Laura Brent,,
4704,Laura Flanders,2026-12-05,
4705,Laura Fraser,2026-07-24,
4706,Laura Harring,2026-03-03,
4707,Laura Harris,,
4708,Laura Morante,2026-08-21,
4709,Laura Ramsey,2026-11-14,
4710,Laura San Giacomo,2026-11-14,
4711,Laura Spencer,2026-06-19,
4712,Laura-Leigh,,
4713,Laurel Holloman,2026-05-23,
4714,Lauren Ambrose,2026-02-20,
4715,Lauren C. Mayhew,2026-11-27,
4716,Lauren Cohan,2026-01-07,
4717,Lauren German,2026-11-29,
4718,Lauren Gottlieb,,
4719,Lauren Holly,2026-10-28,
4720,Lauren Lazin,,
4721,Lauren Lee Smith,2026-06-19,
4722,Lauren London,2026-12-05,
4723,Lauren Sweetser,2026-02-11,
4724,Laurence Dunmore,,
4725,Laurence Fox,2026-05-26,
4726,Laurence Olivier,2026-05-22,2026-07-11
4727,Laurent Bouhnik,2026-04-07,
4728,Laurent Cantet,2026-06-15,
4729,Laurent Poitrenaux,,
4730,Laurent Tirard,,
4731,Laurie Collyer,,
4732,Laurie Metcalf,2026-06-16,
4733,Lauryn Hill,2026-05-26,
4734,Lawrence Gilliard Jr.,2026-09-22,
4735,Lawrence Guterman,,
4736,Lawrence Kasanoff,2026-06-01,
4737,Lawrence Kasdan,2026-01-14,
4738,Laz Alonso,2026-03-25,
4739,Léa Drucker,2026-01-23,
4740,Lea Michele,2026-08-29,
4741,Léa Pool,,
4742,Lea Thompson,2026-05-31,
4743,Leah Remini,2026-06-15,
4744,Lee Arenberg,2026-07-18,
4745,Lee Armstrong,,
4746,Lee Daniels,2026-12-24,
4747,Lee Evans,2026-02-25,
4748,Lee Ingleby,2026-01-28,
4749,Lee J. Cobb,2026-12-08,2026-02-11
4750,Lee Majors,2026-04-23,
4751,Lee Marvin,2026-02-19,2026-08-29
4752,Lee Norris,2026-04-19,
4753,Lee Remick,2026-12-14,2026-07-02
4754,Lee Scott,,
4755,Lee Tamahori,2026-04-22,
4756,Lee Tergesen,2026-07-08,
4757,Lee Toland Krieger,,
4758,Lee Unkrich,2026-08-08,
4759,Lee Ving,,
4760,Leehom Wang,2026-05-17,
4761,Leigh Whannell,2026-01-17,
4762,Leighton Meester,2026-04-09,
4763,Leila Arcieri,2026-12-18,
4764,Leila Hatami,2026-10-01,
4765,Lela Rochon,2026-04-17,
4766,Leland Orser,2026-08-06,
4767,Leleti Khumalo,2026-03-30,
4768,Lemmy,2026-12-24,2026-12-28
4769,Len Cariou,2026-09-30,
4770,Len Wiseman,2026-03-04,
4771,Lena Dunham,2026-05-13,
4772,Lena Endre,2026-07-08,
4773,Lena Horne,2026-06-30,2026-05-09
4774,Lena Olin,2026-03-22,
4775,Lenny Abrahamson,2026-11-30,
4776,Lenny Venito,,
4777,Lenore Zann,2026-11-22,
4778,Leo Fitzpatrick,2026-08-10,
4779,Leo G. Carroll,1886-10-25,2026-10-16
4780,Leo Howard,,
4781,Leo McKern,2026-03-16,2026-07-23
4782,Leo Rossi,2026-06-26,
4783,Leon,2026-03-08,
4784,Leon Ford,,
4785,Leon Ichaso,2026-08-03,
4786,Leon Isaac Kennedy,2026-01-01,
4787,Leon Rippy,2026-10-30,
4788,Léon Schwartzenberg,,
4789,Leonard Farlinger,,
4790,Leonard Nimoy,2026-03-26,2026-02-27
4791,Leonard Roberts,2026-02-28,
4792,Leonardo DiCaprio,2026-11-11,
4793,Leonid Yarmolnik,2026-01-22,
4794,Leonie Benesch,2026-04-22,
4795,Leonor Varela,2026-12-29,
4796,Leonor Watling,2026-07-28,
4797,Leopold Stokowski,1882-04-18,2026-09-13
4798,Leos Carax,2026-11-22,
4799,Les Mayfield,,
4800,Lesley Ann Warren,2026-08-16,
4801,Lesley Manville,2026-03-12,
4802,Lesley Sharp,2026-04-03,
4803,Lesley-Anne Down,2026-03-17,
4804,Leslie Bibb,2026-11-17,
4805,Leslie Carlson,2026-02-24,2026-05-03
4806,Leslie Caron,2026-07-01,
4807,Leslie H. Martinson,2026-01-16,2026-09-03
4808,Leslie Hope,2026-05-06,
4809,Leslie Jordan,2026-04-29,
4810,Leslie Small,,
4811,Leslye Headland,2026-11-26,
4812,Lester Speight,2026-01-07,
4813,Leticia Brédice,2026-08-26,
4814,Levan Gabriadze,2026-11-16,
4815,LeVar Burton,2026-02-16,
4816,Leven Rambin,2026-05-17,
4817,Levon Helm,2026-05-26,2026-04-19
4818,Lew Temple,2026-10-02,
4819,Lewis Gilbert,2026-06-06,2026-10-31
4820,Lex Barker,,
4821,Lex Shrapnel,2026-10-06,
4822,Lexa Doig,2026-06-08,
4823,Lexi Alexander,2026-08-23,
4824,Lexie Contursi,2026-09-18,
4825,Lhakpa Dorji,,
4826,Li Gong,2026-12-31,
4827,Li Jun Li,,
4828,Li Zhang,,
4829,Lia Tucker,,
4830,Liam Aiken,2026-01-07,
4831,Liam James,2026-09-21,
4832,Liam Neeson,2026-06-07,
4833,Liane Balaban,2026-06-24,
4834,Libby Villari,,
4835,Lijun Sun,,
4836,Lil' Wayne,2026-09-27,
4837,Lila Kedrova,2026-10-09,2026-02-16
4838,Lili Taylor,2026-02-20,
4839,Liliana Cavani,2026-01-12,
4840,Lillete Dubey,2026-05-13,
4841,Lilli Lavine,,
4842,Lillian Adams,2026-05-13,2026-05-25
4843,Lillian Gish,1893-10-14,2026-02-27
4844,Lillo Brancato,2026-03-30,
4845,Lily Atkinson,,
4846,Lily Cole,2026-12-27,
4847,Lily James,2026-04-05,
4848,Lily Rabe,2026-06-29,
4849,Lily Tomlin,2026-09-01,
4850,Lin Shaye,2026-10-12,
4851,Lina Esco,2026-05-14,
4852,Lincoln Hoppe,2026-06-05,
4853,Linda Blair,2026-01-22,
4854,Linda Cardellini,2026-06-25,
4855,Linda Fiorentino,2026-03-09,
4856,Linda Harrison,2026-07-26,
4857,Linda Kozlowski,2026-01-07,
4858,Linda Lovelace,2026-01-10,2026-04-22
4859,Linda Mendoza,,
4860,Linden Ashby,2026-05-23,
4861,Lindsay Duncan,2026-11-07,
4862,Lindsay Felton,2026-12-04,
4863,Lindsay Kay Hayward,2026-07-28,
4864,Lindsay MacDonald,2026-09-22,
4865,Lindsay Price,2026-12-06,
4866,Lindsay Sloane,2026-08-08,
4867,Lindsay Wagner,2026-06-22,
4868,Lindsey Haun,2026-11-21,
4869,Lindy Booth,2026-04-02,
4870,Linnea Quigley,2026-05-27,
4871,Lino Facioli,2026-07-29,
4872,Linus Roache,2026-02-01,
4873,Lionel Abelanski,2026-10-22,
4874,Lionel Barrymore,1878-04-28,2026-11-15
4875,Lionel C. Martin,,
4876,Lior Ashkenazi,,
4877,Lisa Ann,2026-05-09,
4878,Lisa Ann Walter,2026-08-03,
4879,Lisa Arnold,,
4880,Lisa Azuelos,2026-11-06,
4881,Lisa Bonet,2026-11-16,
4882,Lisa Brave,,
4883,Lisa Cholodenko,2026-06-05,
4884,Lisa Edelstein,2026-05-21,
4885,Lisa Gaye,2026-03-25,
4886,Lisa Kay,2026-02-11,
4887,Lisa Ortiz,2026-12-11,
4888,Lisa Pelikan,2026-07-12,
4889,Lisa Ray,2026-04-04,
4890,Lisa Wilcox,2026-04-27,
4891,LisaGay Hamilton,2026-03-25,
4892,Lisanne Pajot,,
4893,LisaRaye McCoy,2026-09-23,
4894,Liv Ullmann,2026-12-16,
4895,Livingston Oden,,
4896,Livvy Stubenrauch,,
4897,Liya Kebede,2026-03-01,
4898,Liz Friedlander,,
4899,Liz Mullane,,
4900,Liza Lapira,,
4901,Liza Minnelli,2026-03-12,
4902,Lizzie Brocheré,2026-03-22,
4903,Ljubomir Kerekes,2026-01-16,
4904,LL Cool J,2026-01-14,
4905,Lloyd Avery II,2026-06-21,2026-09-04
4906,Lloyd Bacon,1889-12-04,2026-11-15
4907,Lloyd Bridges,2026-01-15,2026-03-10
4908,Lloyd Kaufman,2026-12-30,
4909,Lluís Quílez,2026-12-08,
4910,Loanne Bishop,2026-11-10,
4911,Lobo Sebastian,,
4912,Lochlyn Munro,2026-02-12,
4913,Logan Browning,2026-06-09,
4914,Logan Lerman,2026-01-19,
4915,Lois Chiles,2026-04-15,
4916,Lois Maxwell,2026-02-14,2026-09-29
4917,Lois Smith,2026-11-03,
4918,Lola Due?as,2026-10-06,
4919,Lola Glaudini,2026-11-24,
4920,Lolita Davidovich,2026-07-15,
4921,Lon Chaney Jr.,2026-02-10,2026-07-12
4922,Lone Scherfig,2026-05-02,
4923,Long Nguyen,,
4924,Lorelei Linklater,2026-05-29,
4925,Lorene Scafaria,,
4926,Loretta Devine,2026-08-21,
4927,Lori Petty,2026-10-14,
4928,Lori Silverbush,,
4929,Lori Singer,2026-11-06,
4930,Lorna Raver,2026-10-09,
4931,Lorne Cardinal,,
4932,Lorraine Bracco,2026-10-02,
4933,Lorraine Stanley,2026-06-28,
4934,Lorraine Toussaint,2026-04-04,
4935,Lorraine Ziff,,
4936,Lotte Verbeek,2026-06-24,
4937,Lou Adler,2026-12-13,
4938,Lou Perryman,2026-08-15,2026-04-01
4939,Lou Romano,2026-04-15,
4940,Lou Saliba,,
4941,Lou Taylor Pucci,2026-07-27,
4942,Louis C.K.,2026-09-12,
4943,Louis Ferreira,2026-02-20,
4944,Louis Herthum,2026-07-05,
4945,Louis Jourdan,2026-06-19,2026-02-14
4946,Louis Koo,2026-10-21,
4947,Louis Leterrier,2026-06-17,
4948,Louis Lombardi,,
4949,Louis Mandylor,2026-09-13,
4950,Louis Morneau,,
4951,Louis Mustillo,2026-05-28,
4952,Louis Ozawa Changchien,,
4953,Louis Walsh,2026-08-05,
4954,Louisa Milwood-Haigh,,
4955,Louise Beavers,2026-03-08,2026-10-26
4956,Louise Bourgoin,2026-11-28,
4957,Louise Brealey,2026-03-27,
4958,Louise Brooks,2026-10-23,2026-09-02
4959,Louise Fletcher,2026-07-22,
4960,Louise Lasser,2026-04-11,
4961,Louise Sorel,2026-08-06,
4962,Lowell Sherman,1888-10-11,2026-12-28
4963,Lubna Azabal,,
4964,Luc Besson,2026-03-18,
4965,Luc Jacquet,2026-12-05,
4966,Luca Guadagnino,,
4967,Lucas Bryant,2026-09-28,
4968,Lucas Grabeel,2026-11-23,
4969,Lucile Hadzihalilovic,2026-05-07,
4970,Lucille Ball,2026-08-06,2026-04-26
4971,Lucille La Verne,1872-11-07,2026-03-04
4972,Lucio Fulci,2026-06-17,2026-03-13
4973,Lucky McKee,2026-11-01,
